,city,city_details,experience,private_experience,alter_experience,sex,age,marital_status,has_children,allow_time_request,experimentGroup,working_with.family,working_with.adults,working_with.lgbt,working_with.believer,working_with.fem,working_with.foreigner,working_with.elderly,education_count,competences_count,methods_count,expertise_count,features_of_work_count,price
336,Воронеж,,7,6,2,F,37.0,married,False,True,False,False,True,False,False,False,False,False,6,4,1,5,7,3000
337,Москва,м. Курская / Красные ворота / Тургеневская / Чистые пруды,13,0,0,F,53.0,married,True,True,False,False,True,True,False,False,False,True,6,4,2,6,12,4200
338,Эйндховен,,14,14,3,F,36.0,single,False,True,False,False,True,False,False,False,False,False,4,7,1,4,11,6000
339,Москва,м. Крылатское,14,14,1,F,35.0,married,True,True,True,False,True,False,False,False,False,False,3,4,1,2,16,4000
340,Москва,м. Тимирязевская / Дмитровская,29,26,2,F,54.0,married,True,True,False,False,True,False,False,False,False,False,6,4,2,2,12,4000
341,Москва,м. Баррикадная / Краснопресненская,10,0,0,F,39.0,married,True,True,False,False,True,False,False,False,False,True,2,4,1,3,10,5000
342,Москва,г. Балашиха,4,5,1,F,28.0,single,False,True,False,False,True,True,False,True,False,True,5,12,1,6,15,7000
343,Москва,м. Киевская,21,21,3,,,,,True,False,True,True,False,False,False,False,True,6,9,2,4,6,4000
344,Санкт-Петербург,м. Невский проспект,5,4,2,M,33.0,,,True,False,True,True,True,False,False,False,False,8,4,1,6,15,3500
345,Минск,"Грушевка, Немига",6,5,3,F,36.0,married,True,True,False,False,True,True,False,True,False,False,19,4,3,2,14,3500
346,Хабаровск,,7,0,0,F,28.0,single,False,True,False,False,True,True,False,False,False,False,19,4,3,4,12,3500
347,Санкт-Петербург,м. Петроградская,12,0,0,F,33.0,,,True,False,False,True,True,False,False,False,False,10,16,3,2,13,4500
348,Алматы,,2,3,1,F,28.0,single,False,True,False,False,True,False,False,False,False,False,6,4,1,2,13,2200
349,Москва,,4,3,1,F,37.0,single,True,True,False,False,True,False,False,False,False,False,10,4,3,3,9,2770
350,Москва,м. Лубянка,10,10,1,F,53.0,married,True,True,False,False,True,False,False,False,False,False,2,4,1,5,11,3500
351,Москва,,2,5,1,F,36.0,,,True,False,True,True,True,False,True,False,False,13,4,3,1,10,3000
352,Москва,м. Менделеевская,6,6,1,M,37.0,married,True,False,False,False,True,False,False,False,False,False,4,4,1,2,7,3000
353,Москва,,2,3,0,F,25.0,single,False,True,False,False,True,False,False,False,False,False,5,7,2,0,7,2250
354,Москва,м. Новослободская; м. Менделеевская,15,11,3,F,36.0,married,True,True,False,True,True,False,False,False,False,False,17,17,4,3,16,4500
355,Москва,м. Таганская; м. Арбатская,5,0,0,F,31.0,married,False,True,False,True,True,True,False,True,False,False,13,4,3,3,16,4000
356,Санкт-Петербург,,2,2,1,F,27.0,married,False,True,True,False,True,False,False,False,False,False,5,4,1,0,12,2200
357,Москва,,3,4,1,F,38.0,married,,True,False,False,True,False,False,False,False,False,5,4,3,1,13,2500
358,Нижний Новгород,м. Горьковская,9,8,1,F,31.0,single,True,True,False,False,True,False,False,False,False,False,10,4,2,5,15,3500
359,Санкт-Петербург,м. Гостиный Двор,5,7,4,F,28.0,,False,True,False,False,True,True,False,False,False,True,14,4,5,6,17,4000
360,Москва,м. Кузнецкий мост,10,9,3,F,39.0,married,False,True,False,False,True,False,False,False,False,False,8,4,1,5,17,4000
361,Санкт-Петербург,м. Сенная / Садовая / Спасская,8,9,3,F,46.0,single,True,True,False,False,True,False,False,False,False,True,3,4,1,1,13,4000
362,Москва,м. Сухаревская,2,3,0,F,38.0,married,True,True,False,False,True,False,False,False,False,False,2,4,2,3,13,2200
363,Москва,м. Белорусская,15,0,0,F,37.0,,,True,False,False,True,False,False,False,False,False,7,4,2,3,8,5500
364,Сочи,Центральный район,15,15,2,F,37.0,single,True,True,False,True,True,False,False,False,False,False,7,15,2,4,14,4000
365,Йошкар-Ола,,12,13,1,F,46.0,single,False,True,False,True,True,True,False,False,False,False,6,9,3,2,17,2200
366,Санкт-Петербург,м. Владимирская / Достоевская,7,8,1,F,53.0,married,True,True,False,False,True,True,False,False,False,False,4,4,2,1,9,3850
367,Москва,,3,0,0,F,36.0,married,True,True,True,False,True,False,False,False,False,False,7,6,1,2,16,3500
368,Москва,м. Новокузнецкая,8,8,0,F,49.0,married,True,True,False,False,True,True,False,False,False,False,11,7,3,5,10,3000
369,Сочи,,4,0,0,F,38.0,single,False,True,False,False,True,False,False,False,False,False,6,7,1,2,17,2850
370,Москва,м. Бауманская,9,9,3,F,45.0,married,True,True,False,True,True,False,False,False,False,False,9,4,1,5,13,5000
371,Санкт-Петербург,м. Сенная площадь,2,4,0,F,29.0,single,False,True,False,False,True,False,False,False,False,False,9,4,1,1,13,2200
372,Санкт-Петербург,м. Пушкинская,10,0,0,F,32.0,single,False,True,False,False,True,False,False,False,False,False,5,3,2,1,20,4000
373,Нижний Новгород,м. Горьковская,14,13,2,F,61.0,married,True,True,False,True,True,False,False,False,False,True,4,10,1,4,8,3300
